city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Abbeville,LA,22738.73837138479,36118.036596134734,315.0,3668.0,35874.0,585.0,73920.0,57242436.0,8873594.0
Abbot,ME,2288.799802017034,4329.585529142928,5.0,23.0,190.0,0.0,0.0,206707.0,0.0
Abbotsford,WI,18603.702963295615,26444.405272559758,61.0,592.0,5968.0,108.0,16440.0,6460008.0,1973481.0
Abbott,PA,297.6807699946787,651.6389253296693,6.0,25.0,274.0,5.0,683.0,527464.0,81991.0
Abbott,TX,531.1820578494469,928.2673363822992,1.0,7.0,85.0,1.0,116.0,113766.0,13929.0
Abbottstown,PA,550.3237708230437,766.7134151171002,19.0,83.0,861.0,86.0,10969.0,1659700.0,1316795.0
Abbyville,KS,255.81951586867916,225.9631901701152,2.0,27.0,265.0,3.0,466.0,477452.0,55927.0
Abercrombie,MN,249.07172207302258,672.2458750443599,16.0,127.0,1307.0,0.0,9.0,1414897.0,1081.0
Abercrombie,ND,498.14344414604517,1344.4917500887198,16.0,127.0,1307.0,0.0,9.0,1414897.0,1081.0
Aberdeen,ID,2879.3287816577667,3731.1246171824255,47.0,245.0,3164.0,146.0,20693.0,3902778.0,2484084.0
Aberdeen,KY,2885.6679418081653,4136.98345488512,39.0,319.0,3317.0,58.0,7830.0,5654435.0,939899.0
Aberdeen,MD,110365.37052289717,174916.34701082745,297.0,10070.0,94676.0,1605.0,189553.0,182454006.0,22754393.0
Aberdeen,MS,21390.32719593522,50693.34645078828,143.0,4049.0,38390.0,119.0,16486.0,64354095.0,1978975.0
Aberdeen,NJ,235701.42424195804,389977.64208191115,266.0,4223.0,36092.0,1170.0,117135.0,69555106.0,14061141.0
Aberdeen,OH,5771.335883616331,8273.96690977024,39.0,319.0,3317.0,58.0,7830.0,5654435.0,939899.0
Aberdeen,SD,93110.37703921238,167591.2022034016,455.0,11062.0,111733.0,123.0,21150.0,120936234.0,2538875.0
Aberdeen,WA,149108.7466411181,305922.48401698004,308.0,6835.0,74085.0,1018.0,116450.0,91377473.0,13978929.0
Abernathy,TX,5991.432617453476,7488.174510472148,71.0,583.0,6947.0,108.0,16265.0,14740967.0,1952553.0
Abilene,KS,29149.600740087837,64386.325507988586,195.0,3393.0,34169.0,584.0,79795.0,61531686.0,9578790.0
Abilene,TX,887272.6759652451,1692523.5390763541,1718.0,38003.0,452948.0,2858.0,428602.0,606497396.0,51450556.0
Abingdon,IL,5663.890851028387,9738.330567843566,66.0,577.0,6491.0,0.0,0.0,6631549.0,0.0
Abington,MA,170628.29513485462,281452.15122595994,318.0,6639.0,44852.0,1384.0,153558.0,48676337.0,18433499.0
Abington,PA,1449360.1189547572,3112800.6539586238,1200.0,10424.0,102675.0,3761.0,453200.0,197867963.0,54403371.0
Abita Springs,LA,13582.70972979582,19165.36499052181,49.0,850.0,9686.0,74.0,9333.0,15455230.0,1120401.0
Abrams,WI,108.87730388046499,221.5194426757833,11.0,95.0,1022.0,26.0,3989.0,1334366.0,478825.0
Absecon,NJ,97320.41015626084,186206.65271151427,152.0,2193.0,15320.0,0.0,9.0,29522769.0,1043.0
Accident,MD,1702.7715909475442,3199.2250432669407,18.0,87.0,847.0,30.0,3510.0,1443692.0,421347.0
Acequia,ID,313.6260309547876,794.4648391527263,5.0,25.0,325.0,14.0,1917.0,400645.0,230134.0
Achille,OK,72.8524974253347,159.85100411946448,3.0,25.0,325.0,4.0,572.0,688831.0,68660.0
Ackerman,MS,12471.02048743132,35771.53416289228,29.0,347.0,2725.0,28.0,3834.0,4567854.0,460263.0
Ackley,IA,4098.071999207126,6704.639298907695,56.0,254.0,2783.0,86.0,14261.0,3012508.0,1711875.0
Acton,MA,477877.5530060169,808688.7461955214,435.0,8058.0,49984.0,3076.0,349120.0,54245941.0,41909327.0
Acton,ME,9536.417118096238,15635.29479855594,35.0,223.0,1865.0,40.0,3807.0,2024037.0,456965.0
Acton,NH,5721.8502708577425,9381.176879133565,35.0,223.0,1865.0,40.0,3807.0,2024037.0,456965.0
Acushnet,MA,95445.08731787094,172757.2604710838,163.0,1566.0,9506.0,518.0,66727.0,10316630.0,8010036.0
Acworth,NH,677.391397025048,1212.266615476123,6.0,58.0,402.0,0.0,0.0,436333.0,0.0
Ada,MN,14772.156710404848,40480.89009980162,53.0,733.0,7381.0,0.0,5.0,7988601.0,549.0
Ada,OH,6209.221551665666,10039.58235331032,74.0,594.0,5869.0,87.0,15845.0,10006792.0,1902018.0
Ada,OK,262701.65120603296,575514.2563227443,361.0,5518.0,72550.0,231.0,33615.0,153940795.0,4035261.0
Adair,IA,2072.19672076854,3092.692203146897,29.0,126.0,1382.0,67.0,11114.0,1495418.0,1334166.0
Adair,OK,906.9795073203168,1274.9179408450773,11.0,122.0,1608.0,0.0,0.0,3412069.0,0.0
Adair Village,OR,550.8922959584949,1459.2156920695707,6.0,118.0,1285.0,10.0,1054.0,1585439.0,126553.0
Adairville,KY,2024.4119967511472,1990.7121643865905,28.0,407.0,3434.0,28.0,3958.0,5755752.0,475169.0
Adams,MA,43123.65813734045,68317.15991796102,160.0,4255.0,28732.0,825.0,92321.0,31181355.0,11082454.0
Adams,MN,2013.8863755223251,2867.447263040744,23.0,321.0,3406.0,0.0,0.0,3686416.0,0.0
Adams,ND,725.7033866851151,839.5932541385533,6.0,79.0,1010.0,5.0,965.0,1093545.0,115798.0
Adams,NE,2374.812265123994,3840.9793788275488,5.0,5.0,47.0,4.0,684.0,51078.0,82109.0
Adams,NY,45056.121212082784,70929.88975382621,82.0,1530.0,14555.0,194.0,38572.0,26206763.0,4630284.0
Adams,PA,30933.26599481185,54891.43479508209,239.0,2021.0,22143.0,0.0,0.0,39040076.0,6.0
Adams,WI,13308.904236552977,21226.486891371762,63.0,513.0,4546.0,151.0,22211.0,5933388.0,2666261.0
Adamstown,PA,7029.689212943385,10425.455704986318,21.0,475.0,5554.0,91.0,11150.0,10702624.0,1338443.0
Adamsville,TN,12166.292453396392,20121.236334890596,92.0,984.0,7890.0,0.0,25.0,13225297.0,2966.0
Addieville,IL,818.6689486475916,872.3379905137426,7.0,87.0,981.0,0.0,0.0,1002571.0,0.0
Addis,LA,4406.560275936078,6319.626628577685,27.0,153.0,1438.0,0.0,0.0,2294412.0,18.0
Addison,IL,858397.5025302658,1203234.0158614991,525.0,8063.0,92352.0,2343.0,388530.0,157450112.0,46640152.0
Addison,MD,4819.5028117174625,7537.184763083258,19.0,107.0,1069.0,55.0,7024.0,2060859.0,843141.0
Addison,ME,6510.850215787518,8870.88108338643,12.0,340.0,2702.0,0.0,0.0,2932405.0,0.0
Addison,MI,397.7291398113684,387.8963226648647,38.0,324.0,2741.0,66.0,10137.0,3577666.0,1216891.0
Addison,NY,10571.198013545836,13590.137412037624,60.0,460.0,4321.0,126.0,18018.0,7779760.0,2162948.0
Addison,PA,3410.7075620784667,5283.207537884995,24.0,138.0,1375.0,71.0,9033.0,2650471.0,1084364.0
Addison,TX,439835.02539718867,682840.2072210595,265.0,20601.0,245534.0,1129.0,169299.0,328770226.0,20323105.0
Addison,VT,13347.645810113076,23527.57316306328,32.0,251.0,1752.0,0.0,0.0,1901758.0,0.0
Addyston,KY,664.3068937412157,1434.5779056967149,11.0,117.0,1343.0,42.0,5652.0,2289870.0,678431.0
Addyston,OH,1992.9206812236475,4303.733717090143,11.0,117.0,1343.0,42.0,5652.0,2289870.0,678431.0
Adel,IA,10816.263035185588,19005.30269334093,101.0,767.0,8401.0,293.0,49844.0,9092621.0,5983374.0
Adelanto,CA,42902.30931389292,69777.26397078272,109.0,1319.0,10249.0,355.0,32546.0,13723503.0,3906906.0
Adell,WI,1377.6156611422475,2319.0365476706893,11.0,77.0,668.0,21.0,3063.0,1138385.0,367649.0
Adena,OH,2548.954662819718,5531.25022408571,14.0,94.0,928.0,4.0,662.0,1581341.0,79463.0
Admire,KS,36.024806455130296,61.66843855631882,2.0,10.0,96.0,0.0,0.0,172429.0,30.0
Adrian,MI,51149.31963089346,105033.20384958947,442.0,9806.0,82882.0,1714.0,262668.0,108180449.0,31531413.0
Adrian,MN,3767.7540149727915,6281.107607258557,31.0,513.0,5957.0,63.0,10945.0,6448131.0,1313889.0
Adrian,TX,451.8812935954737,738.7193548657498,2.0,21.0,247.0,2.0,284.0,523972.0,34062.0
Advance,IN,311.63328900456,559.4023553950599,1.0,67.0,713.0,3.0,355.0,1215158.0,42638.0
Afton,IA,1899.7252075391586,3578.574113140321,20.0,70.0,763.0,30.0,4726.0,826308.0,567286.0
Afton,MN,41486.45496705739,78225.98645743281,47.0,373.0,3762.0,238.0,39562.0,4071524.0,4749128.0
Afton,NY,31458.52143827572,51309.899472089055,66.0,342.0,3211.0,0.0,0.0,5781582.0,0.0
Afton,OK,720.4520434359688,1275.707385283393,16.0,120.0,1574.0,7.0,1049.0,3340192.0,125864.0
Afton,WI,13828.818322352463,26075.328819144263,47.0,373.0,3762.0,238.0,39562.0,4071524.0,4749128.0
Afton,WY,19165.103406275357,48463.06116060209,74.0,670.0,10954.0,345.0,37188.0,13510895.0,4464163.0
Agar,SD,514.6285936207322,1029.1825306040523,2.0,17.0,210.0,2.0,421.0,227047.0,50592.0
Agawam Town,CT,108447.66641393477,184756.57514177624,490.0,7069.0,46502.0,1310.0,152994.0,50466800.0,18365777.0
Agawam Town,MA,325342.9992418045,554269.7254253286,490.0,7069.0,46502.0,1310.0,152994.0,50466800.0,18365777.0
Agency,IA,1060.6035799853182,1848.080593176252,18.0,69.0,753.0,27.0,4430.0,815099.0,531762.0
Agoura Hills,CA,348860.40844759357,582848.9597312921,342.0,7989.0,62097.0,609.0,71273.0,83148995.0,8555783.0
Agra,KS,871.1310398641756,878.9098596815262,13.0,151.0,1298.0,38.0,5213.0,2337944.0,625733.0
Agra,OK,668.4535661045182,1165.9333949377165,11.0,95.0,1247.0,17.0,2411.0,2645116.0,289478.0
Agua Dulce,TX,320.56349863466016,440.38478923011695,14.0,191.0,2276.0,23.0,3561.0,3047355.0,427491.0
Aguilar,CO,1144.85080911996,1463.6385188104016,8.0,109.0,671.0,6.0,1179.0,1175563.0,141532.0
Ahmeek,MI,820.8398125636504,912.5338808297722,2.0,23.0,148.0,0.0,0.0,193658.0,0.0
Ainsworth,IA,72.8524974253347,159.85100411946448,10.0,53.0,581.0,20.0,3123.0,628550.0,374852.0
Ainsworth,NE,16691.752440109147,40388.9438356807,59.0,928.0,7805.0,0.0,0.0,8448108.0,0.0
Airway Heights,WA,28480.545554387703,44958.1713162063,152.0,1644.0,16450.0,418.0,51455.0,20289654.0,6176803.0
Aitkin,MN,8336.349503321806,14144.179327145637,72.0,987.0,9695.0,0.0,62.0,10493103.0,7412.0
Akeley,MN,570.8296905040239,1053.8334899301235,13.0,80.0,871.0,0.0,0.0,943048.0,0.0
Akron,CO,1719.5123021064164,2597.0043265643217,48.0,774.0,7157.0,42.0,7663.0,12541792.0,919902.0
Akron,IA,3188.486946737377,5095.7594128976725,31.0,141.0,1543.0,40.0,6811.0,1670375.0,817654.0
Akron,IN,1018.5872455371153,1844.4208963356773,24.0,143.0,1608.0,45.0,7530.0,2742256.0,903910.0
Akron,MI,1579.5952531834369,2730.0586721579475,9.0,66.0,685.0,15.0,2299.0,893631.0,276018.0
Akron,OH,1969685.8584563828,3631611.8152580094,3568.0,48222.0,478171.0,12801.0,2613861.0,815231363.0,313774954.0
Akutan,AK,174.56538540620926,504.87696788985,2715.25,268628.75,1590976.0,82467.75,10887183.0,2194742983.75,1306926736.5
Alabama,NY,6251.272961391053,7700.408584091319,21.0,130.0,1239.0,54.0,10137.0,2230632.0,1216842.0
Alakanuk,AK,1844.492206271817,2902.231801133931,1831.25,180191.75,1067199.25,54978.5,7258122.0,1472389513.0,871284491.0
Alameda,CA,458145.7161381451,855803.9878186047,1102.0,25901.0,139809.0,3794.0,458470.0,187205299.0,55035916.0
Alamo,TN,9731.665379550743,16427.556491509335,81.0,934.0,8498.0,0.0,11.0,14245210.0,1288.0
Alamo,TX,59412.970870844765,81363.3459995075,170.0,3096.0,36900.0,526.0,78643.0,49409351.0,9440468.0
Alamo Heights,TX,21850.430176174454,41001.99365185916,256.0,3019.0,35987.0,367.0,67373.0,48187242.0,8087638.0
Alamogordo,NM,62354.26194177492,122365.14105490678,467.0,9023.0,92808.0,1349.0,250635.0,119194645.0,30086906.0
Alamosa,CO,42292.53707829373,89458.48494587402,251.0,4424.0,48013.0,626.0,114681.0,84133580.0,13766600.0
Alanson,MI,1187.5310981407365,1935.000873310434,25.0,180.0,1516.0,0.0,0.0,1978543.0,0.0
Alba,MI,612.709998927916,1180.8663768524245,2.0,21.0,175.0,0.0,0.0,228094.0,0.0
Alba,TX,504.7021341878302,968.7641327267723,14.0,128.0,1525.0,12.0,1830.0,2042406.0,219618.0
Albany,CA,145940.25310306615,283259.2661259213,302.0,5274.0,28437.0,1316.0,158996.0,38076962.0,19086290.0
Albany,IL,1431.1315743446771,1768.0207878805286,10.0,43.0,492.0,54.0,8893.0,838259.0,1067488.0
Albany,IN,18548.86455869657,26940.26494518225,29.0,444.0,5067.0,32.0,4417.0,8638437.0,530220.0
Albany,KY,20533.238203226152,47742.709822649886,102.0,1313.0,13199.0,0.0,0.0,22125277.0,0.0
Albany,LA,3909.699514518949,6023.758182486296,45.0,1317.0,16289.0,151.0,19025.0,25991058.0,2283866.0
Albany,MN,16252.328103532662,41288.59880239565,68.0,566.0,5705.0,298.0,49468.0,6175418.0,5938224.0
Albany,NH,24767.853193337407,43461.57141417754,14.0,182.0,1249.0,0.0,0.0,1355954.0,0.0
Albany,NY,2299625.5219107387,4561365.886251337,2007.0,54527.0,518575.0,10691.0,2130191.0,933721131.0,255713890.0
Albany,OH,1247.109366541115,1769.4723135133954,26.0,193.0,1904.0,48.0,8818.0,3246856.0,1058562.0
Albany,OR,193605.4787140717,361557.7932774043,832.0,22911.0,249688.0,2057.0,218241.0,307970521.0,26198281.0
Albany,PA,17235.985885258568,24665.88733969167,38.0,210.0,2174.0,16.0,1964.0,4189416.0,235744.0
Albany,TX,9470.94055951314,12057.459457594205,45.0,494.0,5884.0,48.0,7157.0,7879209.0,859120.0
Albany,VT,4085.2708366056263,4887.085030685765,12.0,99.0,620.0,0.0,0.0,673359.0,0.0
Albany,WI,742.2195400988968,1281.3540045007214,34.0,232.0,2065.0,60.0,9296.0,2695473.0,1115962.0
Albers,IL,6246.847628535576,8646.055505974891,14.0,181.0,2028.0,0.0,0.0,2071776.0,0.0
Albert,KS,100.57911533689536,183.88740266468517,2.0,31.0,286.0,3.0,391.0,515490.0,46935.0
Albert City,IA,1849.004792283518,3415.44106586287,15.0,89.0,979.0,30.0,4896.0,1059798.0,587690.0
Albert Lea,MN,65501.80561135461,127190.57151344525,373.0,9340.0,132617.0,0.0,11.0,143539685.0,1310.0
Alberton,MT,344.23870347575587,549.4878198066566,7.0,1389.0,12478.0,0.0,0.0,15390789.0,40.0
Albertville,MN,35441.84622266198,50565.868207347135,145.0,2260.0,22780.0,557.0,92552.0,24656187.0,11110187.0
Albia,IA,20120.991352865807,49621.86630528664,122.0,736.0,8062.0,272.0,45135.0,8236355.0,5418166.0
Albion,IA,1435.606309786645,1591.0747202389884,16.0,73.0,797.0,24.0,3789.0,863096.0,454878.0
Albion,ID,2805.0096166910394,4842.552407669754,15.0,83.0,1100.0,21.0,2938.0,1356662.0,352730.0
Albion,IL,6392.253824193198,10306.732233675852,57.0,758.0,8517.0,0.0,0.0,8700761.0,0.0
Albion,IN,1995.5866388770103,3570.848568159708,54.0,386.0,3770.0,0.0,1.0,6426769.0,163.0
Albion,ME,12901.938146498684,18642.18980053503,19.0,126.0,1052.0,0.0,4.0,1142083.0,531.0
Albion,MI,12976.320794106192,20864.458631275338,159.0,3520.0,29624.0,818.0,125352.0,38666746.0,15047583.0
Albion,NE,17424.36923959007,42937.89292450915,41.0,163.0,1958.0,0.0,0.0,2119327.0,19.0
Albion,NY,39954.189947973704,72468.84643360713,224.0,2781.0,26449.0,898.0,156004.0,47621800.0,18727092.0
Albion,WA,1093.6474792632878,2516.485773676731,4.0,43.0,426.0,9.0,1145.0,525367.0,137466.0
Albuquerque,NM,3928055.629967967,7778461.950691207,9045.0,204794.0,2106381.0,33383.0,6201235.0,2705267404.0,744412979.0
Alburgh,VT,6524.6490146954075,9545.468065580495,39.0,571.0,3946.0,0.0,0.0,4282316.0,0.0
Alburnett,IA,734.4951018023503,1011.3504657682823,13.0,58.0,630.0,23.0,3558.0,681725.0,427150.0
Alburtis,PA,1157.1528828663381,1508.257170828037,13.0,1600.0,19204.0,361.0,44266.0,37008155.0,5313755.0
Alcester,SD,3554.020775972319,5583.899847737459,13.0,137.0,1584.0,19.0,3733.0,1714606.0,448145.0
Alcoa,TN,224032.95702694848,357273.96667020104,250.0,7575.0,75521.0,849.0,108782.0,126596590.0,13058446.0
Alda,NE,1362.4586179334035,1773.264590461863,12.0,41.0,395.0,0.0,0.0,427715.0,0.0
Aldan,PA,24193.637144785538,45081.583411618856,49.0,178.0,1758.0,79.0,9609.0,3387700.0,1153432.0
Alden,IA,2265.3108099642277,2731.920340079333,14.0,50.0,547.0,19.0,2953.0,591895.0,354527.0
Alden,MI,307.60337913938315,490.5885950635442,9.0,59.0,494.0,0.0,0.0,644488.0,0.0
Alden,MN,741.2274675951636,1245.6715747537867,10.0,154.0,1701.0,0.0,4.0,1841109.0,426.0
Alden,NY,67694.59834772494,101523.55093230485,196.0,1827.0,17266.0,537.0,100303.0,31087967.0,12040674.0
Aldrich,MO,96.47284466962608,121.51062866637608,0.0,6.0,52.0,0.0,0.0,52709.0,0.0
Aledo,IL,20279.749091772777,49036.313296771994,81.0,985.0,11158.0,238.0,41286.0,11399288.0,4956067.0
Aledo,TX,3382.990921440549,5604.749750172139,31.0,378.0,4500.0,34.0,5099.0,6026023.0,612145.0
Aleppo,PA,2204.4426871173473,4619.867889453024,49.0,1087.0,11593.0,270.0,35520.0,19764768.0,4263952.0
Alex,OK,2301.3752969062084,3922.8577091125426,3.0,36.0,473.0,7.0,950.0,1003082.0,114100.0
Alexander,AR,72.04961291026059,123.33687711263764,16.0,257.0,3124.0,89.0,14073.0,4984135.0,1689308.0
Alexander,IA,571.0421163504187,653.7133316793081,3.0,16.0,176.0,5.0,829.0,190423.0,99551.0
Alexander,KS,225.7580310510124,163.48447449381123,6.0,92.0,837.0,6.0,868.0,1507229.0,104172.0
Alexander,ME,2944.1485174761247,4133.403120424873,5.0,14.0,87.0,0.0,0.0,94871.0,0.0
Alexander,ND,1034.4461531790892,1976.762732719624,3.0,395.0,4182.0,17.0,3079.0,4526251.0,369613.0
Alexander,NY,7780.625335649516,10319.185231957928,52.0,1246.0,11854.0,189.0,35250.0,21343190.0,4231524.0
Alexandria,DC,346078.0636495531,614133.6494981435,2364.0,100308.0,1264390.0,14417.0,2030177.0,1567457165.0,243707873.0
Alexandria,IN,5601.580831653453,8501.91097597269,145.0,897.0,10262.0,215.0,30056.0,17495028.0,3607970.0
Alexandria,KY,21932.41460706693,31474.949344988283,143.0,1954.0,24887.0,368.0,50649.0,41717669.0,6080001.0
Alexandria,LA,649706.9363148643,1447928.6206015425,1067.0,39649.0,395232.0,2640.0,333317.0,838628194.0,40012223.0
Alexandria,MN,65884.89689396518,132704.69773950794,344.0,8290.0,97937.0,803.0,131449.0,106003965.0,15779470.0
Alexandria,NH,7609.982382413958,14399.39534514363,22.0,130.0,909.0,0.0,0.0,986115.0,0.0
Alexandria,NJ,34696.03011190696,57436.91084256796,55.0,417.0,3568.0,157.0,18828.0,6875581.0,2260120.0
Alexandria,NY,188384.956091632,424547.2836304592,128.0,2739.0,26053.0,0.0,0.0,46909335.0,6.0
Alexandria,OH,536.6679285094999,671.894481016952,4.0,410.0,4046.0,33.0,6094.0,6898744.0,731589.0
Alexandria,PA,5782.6716853178295,9572.818473761326,69.0,716.0,6541.0,157.0,18838.0,12605708.0,2261352.0
Alexandria,SD,1067.6064830552139,1408.1526766068796,8.0,45.0,459.0,7.0,1195.0,497017.0,143506.0
Alexandria,VA,1038234.1909486592,1842400.9484944304,2364.0,100308.0,1264390.0,14417.0,2030177.0,1567457165.0,243707873.0
Alexis,IL,1009.2557672335324,1946.7184559036825,20.0,151.0,1694.0,1.0,167.0,1730719.0,20085.0
Alfred,ME,12754.287047794756,20722.139627223984,64.0,432.0,3623.0,100.0,9377.0,3932065.0,1125581.0
Alfred,NY,40319.981890686606,60328.42161118008,45.0,247.0,2190.0,28.0,5217.0,3942539.0,626316.0
Alger,OH,434.09322807770513,513.9773239862211,20.0,135.0,1375.0,30.0,5637.0,2344366.0,676645.0
Algoma,MS,323.22925286047297,795.5306581665225,4.0,198.0,1684.0,6.0,870.0,2823437.0,104425.0
Algoma,WI,7611.251032908211,12496.935243147305,85.0,1382.0,14821.0,567.0,93545.0,19345493.0,11229403.0
Algona,IA,30093.29878610733,65573.06010983649,170.0,1870.0,20473.0,510.0,79776.0,22159715.0,9576544.0
Algona,WA,15703.669431652075,21718.39665647817,56.0,1463.0,14796.0,354.0,42216.0,18249399.0,5067772.0
Algonac,MI,5101.381080990674,8506.832708119742,88.0,1341.0,13940.0,332.0,50965.0,18194641.0,6118018.0
Algonquin,IL,406824.112464708,654315.801044627,394.0,5171.0,59231.0,1985.0,329081.0,100982046.0,39503751.0
Algood,TN,3786.755291159926,5180.237323592232,76.0,1156.0,9983.0,275.0,35302.0,16734511.0,4237763.0
Alhambra,CA,1230277.358043495,2153889.7247831225,1169.0,20065.0,155657.0,1990.0,232961.0,208425845.0,27965321.0
Alhambra,IL,1067.9415195550794,2267.111846217282,13.0,161.0,1812.0,0.0,0.0,1850979.0,0.0
Alice,TX,47440.658197568475,94493.91787808492,326.0,4607.0,54913.0,518.0,79951.0,73528809.0,9597588.0
Aline,OK,534.3015993362802,545.6566763260245,5.0,67.0,887.0,13.0,1880.0,1881311.0,225624.0
Aliquippa,PA,65028.773767334744,117992.43664656943,187.0,1601.0,17052.0,0.0,0.0,29072004.0,31.0
Aliso Viejo,CA,473501.0963224013,830238.4426754172,327.0,9957.0,69695.0,603.0,70563.0,93321851.0,8470565.0
Allagash,ME,228.3355410950896,461.65090332662237,5.0,13.0,106.0,0.0,0.0,115322.0,0.0
Allamuchy,NJ,38442.49760126532,72326.56872296087,84.0,938.0,8015.0,572.0,68405.0,15446781.0,8211524.0
Allardt,TN,706.5814753562795,1716.0187476856531,22.0,241.0,2201.0,0.0,0.0,3689763.0,11.0
Allegan,MI,10650.390648186165,19306.367472541577,192.0,2582.0,21701.0,718.0,110111.0,28325193.0,13217978.0
Allegany,NY,36501.28756194063,67333.57276142426,146.0,2040.0,19386.0,334.0,60042.0,34904379.0,7207553.0
Allegany,PA,72621.10271080886,133274.9527597045,155.0,2093.0,19964.0,353.0,62647.0,36018176.0,7520236.0
Allegheny,PA,30763.103746779318,49203.56908812019,357.0,5224.0,54633.0,818.0,110393.0,101597955.0,13251850.0
Alleman,IA,1390.0683621331796,1587.3452152029206,6.0,26.0,290.0,10.0,1678.0,295766.0,201399.0
Allen,KS,619.4420960388233,956.3246759683686,5.0,23.0,230.0,0.0,1.0,413932.0,73.0
Allen,KY,267.7654347870405,237.92659296961568,17.0,351.0,2943.0,25.0,3401.0,5018198.0,408292.0
Allen,NE,399.66114214476033,484.5159518760837,5.0,75.0,1000.0,6.0,1083.0,1082264.0,130039.0
Allen,OK,3154.914664971287,5060.7645061184885,21.0,164.0,2152.0,27.0,3924.0,4565701.0,471070.0
Allen,TX,505689.83247206634,1066072.633612417,802.0,19110.0,227767.0,1363.0,204426.0,304980047.0,24539834.0
Allen Park,MI,372715.29737527756,647084.2525718567,407.0,7015.0,72913.0,0.0,0.0,95169312.0,0.0
Allendale,IL,334.4285880234148,359.16478297228804,5.0,67.0,753.0,8.0,874.0,769364.0,104930.0
Allendale,MI,104690.49631659764,183962.49064165234,155.0,3323.0,27932.0,504.0,77264.0,36457401.0,9274994.0
Allendale,NJ,139422.9679772911,208083.9084842261,142.0,1992.0,16447.0,735.0,101507.0,29613621.0,12185218.0
Allenhurst,NJ,7550.135826123508,12831.60129107084,49.0,621.0,5308.0,203.0,19460.0,10229282.0,2336054.0
Allenstown,NH,33332.75912579817,52396.934771087355,48.0,542.0,3692.0,252.0,22287.0,4006288.0,2675416.0
Allenton,WI,613.6974307034145,944.7624632777628,37.0,229.0,1973.0,108.0,16541.0,3363727.0,1985643.0
Allentown,NJ,8257.588458504702,13102.984305150309,29.0,320.0,2677.0,71.0,9862.0,5158138.0,1183837.0
Allerton,IA,645.0821563818545,997.588909395374,17.0,68.0,741.0,27.0,4118.0,802146.0,494303.0
Alliance,NE,33419.634033796065,69018.82432983622,210.0,2881.0,24132.0,0.0,0.0,42286788.0,0.0
Alliance,OH,48262.283136118465,96343.29144851961,644.0,8087.0,80176.0,2041.0,392568.0,136692291.0,47124916.0
Allison,IA,3177.765184489935,6165.0448758196935,38.0,189.0,2066.0,53.0,8936.0,2235667.0,1072702.0
Allouez,WI,109709.46300986767,275290.45774150576,266.0,4098.0,43979.0,1983.0,327069.0,57404473.0,39262239.0
Alloway,NJ,16834.966968736495,31012.164254070776,51.0,975.0,6808.0,121.0,12406.0,13120753.0,1489307.0
Alma,AR,24751.07153463522,41690.136211138684,75.0,913.0,12151.0,341.0,47826.0,25783138.0,5741132.0
Alma,CO,694.3968119682545,1602.548813491563,5.0,96.0,1035.0,6.0,1071.0,1813692.0,128587.0
Alma,KS,710.4322806529927,1309.1193484729974,28.0,258.0,2562.0,0.0,0.0,4613889.0,18.0
Alma,MI,34913.4031128042,76855.96073051983,200.0,5621.0,47299.0,637.0,97613.0,61736838.0,11717766.0
Alma,MN,5726.26284650368,8164.757116363405,26.0,342.0,3380.0,0.0,0.0,3658793.0,0.0
Alma,NE,15523.957875991582,40304.72863832411,42.0,179.0,1689.0,0.0,0.0,1828032.0,31.0
Alma,TX,279.13320689068934,734.7245907206639,2.0,52.0,623.0,3.0,437.0,834577.0,52471.0
Alma,WI,2863.13142325184,4082.3785581817024,26.0,342.0,3380.0,0.0,0.0,3658793.0,0.0
Alma Center,WI,2177.4919293857897,3304.6479702870274,4.0,23.0,224.0,4.0,588.0,242422.0,70531.0
Almena,KS,1059.7483454903509,1396.1140591194376,8.0,118.0,1005.0,16.0,2246.0,1809198.0,269611.0
Almena,WI,2050.0775679574554,2799.4463503735906,14.0,134.0,1323.0,23.0,3366.0,1431848.0,404076.0
Almira,WA,1095.2341204858496,1157.7880769268734,2.0,15.0,170.0,5.0,658.0,209902.0,78945.0
Almond,NY,11168.53236699837,18998.42892977325,23.0,150.0,1333.0,15.0,2811.0,2400138.0,337435.0
Almond,WI,426.57174817620233,476.34831486944273,10.0,69.0,684.0,13.0,2040.0,892563.0,244942.0
Almont,MI,2387.257049795024,3757.477600046687,56.0,757.0,7872.0,173.0,26500.0,10274841.0,3181098.0
Almont,ND,399.2643428296674,317.4928279302038,3.0,47.0,485.0,6.0,1083.0,524425.0,130057.0
Almyra,AR,90.9287347879899,179.58093509879163,4.0,27.0,321.0,9.0,1365.0,511870.0,163911.0
Alna,ME,6584.226834673654,8346.733260201949,11.0,68.0,568.0,0.0,0.0,616274.0,0.0
Alorton,IL,2581.2457177031038,4350.227441300435,33.0,591.0,6645.0,0.0,0.0,6788547.0,0.0
Alpena,AR,165.3132146043566,341.3601293425125,11.0,100.0,1217.0,20.0,2765.0,1942435.0,331958.0
Alpena,MI,43330.443252183286,88001.88211498503,320.0,3670.0,32725.0,1301.0,199411.0,42714216.0,23937788.0
Alpena,SD,799.1537480894867,818.5595816144122,4.0,42.0,421.0,0.0,0.0,455375.0,0.0
